"id","category","self_mean","peer_mean","peer_low","peer_high","obs_mean","obs_low","obs_high","obs_p_one_sided","std_mean","std_low","std_high","std_p_one_sided","cp_raise_mean","cp_raise_low","cp_raise_high","sp_cp_support_mean","sp_cp_support_low","sp_cp_support_high","ct_cp_support_mean","ct_cp_support_low","ct_cp_support_high","spctp_cp_support_mean","spctp_cp_support_low","spctp_cp_support_high"
"JDP21","Behavioral Biases/Reflective Thinking",0.2,0.194444444444444,0.0944977302462661,0.294391158642623,0.211857454768128,0.00323719354041793,0.420477715995838,0.0236581034224404,0.0977655242069198,-0.110855756565725,0.306386804979564,0.179489927991606,0.119363836396845,-0.0892921934175228,0.328019866211213,0.17369955913712,-0.0349178821375854,0.382317000411825,0.0833700635276482,-0.125285792396733,0.292025919452029,0.0657963501319863,-0.142877686162588,0.27447038642656
"JGS47","Information Treatment",0.25,0.327777777777778,0.206524242765035,0.44903131279052,-0.0555031395262987,-0.263855829193756,0.152849550141158,0.699045080901565,-0.126862279879279,-0.335248492674448,0.0815239329158903,0.883208352129567,-0.0919509833159414,-0.300278531883584,0.116376565251701,-0.173764609687819,-0.382115216659582,0.0345859972839436,0.0633425216100883,-0.144971806899644,0.271656850119821,-0.0273368086100158,-0.235696206094282,0.18102258887425
"JPK34","Information Treatment",0.05,0.1,0.0213282487518903,0.17867175124811,0.0880959376907739,-0.120833033137992,0.29702490851954,0.204556128310228,0.155226314674415,-0.053758297103336,0.364210926452166,0.0731671049518277,0.195523394995067,-0.0133991803063279,0.404445970296462,0.19797331559424,-0.0110189845061866,0.406965615694667,0.0664412443504768,-0.142593243491216,0.27547573219217,0.036515119608221,-0.172446274236988,0.24547651345343
"KLV32","Information Treatment",0.2,0.294444444444444,0.135712976195878,0.453175912693011,0.0686827475482781,-0.141734638075585,0.279100133172141,0.26137299152592,0.031175362574673,-0.179267677587602,0.241618402736948,0.385858107352231,-0.0038763918271376,-0.214308921786858,0.206556138132583,0.0462018050304734,-0.164257286417808,0.256660896478755,0.0343268301348305,-0.176099966973542,0.244753627243203,0.0421517249531096,-0.168343746744986,0.252647196651205
"KYM84","Information Treatment",0.15,0.335,0.235863259417442,0.434136740582558,0.00931889190021214,-0.197743540355906,0.21638132415633,0.464879447835097,-0.139582941311044,-0.346654059120846,0.0674881764987581,0.906360923083595,-0.204324435255678,-0.411496080778381,0.00284721026702456,-0.223587765191841,-0.430852947823971,-0.016322582559711,-0.0778634609468324,-0.285132149655433,0.129405227761769,-0.118761900571684,-0.325992845547949,0.0884690444045807
"LDM83","Information Treatment",0.2,0.27,0.109833364550818,0.430166635449182,-0.101792614287591,-0.308809100043577,0.105223871468395,0.832091677258278,-0.124860897680206,-0.33160731945119,0.0818855240907779,0.881344036554158,-0.0260794238975872,-0.233000596252217,0.180841748457043,-0.00450677506899295,-0.211369128076487,0.202355577938501,-0.0553522623202998,-0.262259017585287,0.151554492944688,-0.14347949708111,-0.350192673464886,0.0632336793026659
"LKV37","Behavioral Biases/Reflective Thinking",0.2,0.32,0.186745623378109,0.453254376621891,0.231772911740225,0.0240933223712037,0.439452501109246,0.0146822524602166,0.276884608770148,0.0690564586046167,0.484712758935679,0.00470120435980451,0.17955472430514,-0.0337289596044335,0.392838408214713,0.284737270866853,0.0768941981066717,0.492580343627034,0.347345715807664,0.139543323026303,0.555148108589025,0.311869676299478,0.103992459706669,0.519746892892287
"MWV22","Behavioral Biases/Reflective Thinking",0.26,0.322,0.212762354067433,0.431237645932567,0.00149181538838619,-0.207835940671076,0.210819571447849,0.494431593741738,-0.126117283404805,-0.3352664670208,0.0830319002111903,0.880973906221624,-0.0865619376592731,-0.295743906651192,0.122620031332646,-0.0832121677958854,-0.292552186041632,0.126127850449861,-0.0687243360746513,-0.278026226140659,0.140577553991356,-0.179045592153264,-0.388286857469466,0.0301956731629377
"MZO82","Information Treatment",0.1,0.175,0.101590796822802,0.248409203177198,-0.0101358611906271,-0.217318617419876,0.197046895038622,0.538168311354186,0.0163121595836795,-0.190789141862507,0.223413461029866,0.438699444574364,0.239373667724562,0.0322570463454887,0.446490289103635,0.187436513368016,-0.0197260241535723,0.394599050889604,0.0443049631995107,-0.162891682561587,0.251501608960608,-0.0718399769081015,-0.278975356718,0.135295402901797
"NWZ57","Behavioral Biases/Reflective Thinking",0.3,0.33,0.233980002082899,0.426019997917101,0.056765634346009,-0.152205073467322,0.26573634215934,0.297384764399233,-0.0150100005418298,-0.223984222718768,0.193964221635109,0.555938261641335,-0.0194127332173548,-0.228379096509639,0.189553630074929,0.0156277137104684,-0.193352122155083,0.224607549576019,-0.0673675886471847,-0.276327172897576,0.141591995603207,-0.11298249099391,-0.321968202855334,0.0960032208675138
